customer_key,customer_unique_id,customer_city,customer_state,customer_zip_code_prefix
1,0000366f3b9a7992bf8c76cfdf3221e2,cajamar,SP,07787
2,0000b849f77a49e4a4ce2b2a4ca5be3f,osasco,SP,06053
3,0000f46a3911fa3c0805444483337064,sao jose,SC,88115
4,0000f6ccb0745a6a4b88665a16c9f078,belem,PA,66812
5,0004aac84e0df4da2b147fca70cf8255,sorocaba,SP,18040
6,0004bd2a26a76fe21f786e4fbd80607f,sao paulo,SP,05036
7,00050ab1314c0e55a6ca13cf7181fecf,campinas,SP,13084
8,00053a61a98854899e70ed204dd4bafe,curitiba,PR,80410
9,0005e1862207bf6ccc02e4228effd9a0,teresopolis,RJ,25966
10,0005ef4cd20d2893f0d9fbd94d3c0d97,sao luis,MA,65060
11,0006fdc98a402fceb4eb0ee528f6a8d4,mimoso do sul,ES,29400
12,00082cbe03e478190aadbea78542e933,itapeva,SP,18400
13,00090324bbad0e9342388303bb71ba0a,campinas,SP,13054
14,000949456b182f53c18b68d6babc79c1,sao bernardo do campo,SP,09613
15,000a5ad9c4601d2bbdd9ed765d5213b3,porto alegre,RS,90560
16,000bfa1d2f1a41876493be685390d6d3,santos,SP,11095
17,000c8bdb58a29e7115cfc257230fb21b,belo horizonte,MG,31555
18,000d460961d6dbfa3ec6c9f5805769e1,sao paulo,SP,01206
19,000de6019bb59f34c099a907c151d855,sao sebastiao,SP,11612
20,000e309254ab1fc5ba99dd469d36bdb4,valparaiso de goias,GO,72872
21,000ec5bff359e1c0ad76a81a45cb598f,salto de pirapora,SP,18160
22,000ed48ceeb6f4bf8ad021a10a3c7b43,sao paulo,SP,01303
23,000fbf0473c10fc1ab6f8d2d286ce20c,indaiatuba,SP,13330
24,0010a452c6d13139e50b57f19f52e04e,taquara,RS,95611
25,0010fb34b966d44409382af9e8fd5b77,sao paulo,SP,04321
26,001147e649a7b1afd577e873841632dd,maringa,PR,87020
27,00115fc7123b5310cf6d3a3aa932699e,brasilia,DF,71015
28,0011805441c0d1b68b48002f1d005526,goianesia do para,PA,68639
29,0011857aff0e5871ce5eb429f21cdaf5,santo andre,SP,09070
30,0011c98589159d6149979563c504cb21,campos altos,MG,38970
31,0012929d977a8d7280bb277c1e5f589d,canoas,RS,92010
32,0014a5a58da615f7b01a4f5e194bf5ea,sao paulo,SP,01407
33,0015752e079902b12cd00b9b7596276b,sao paulo,SP,03169
34,00172711b30d52eea8b313a7f2cced02,jequie,BA,45200
35,00191a9719ef48ebb5860b130347bf33,jarinu,SP,13240
36,001926cef41060fae572e2e7b30bd2a4,nova canaa do norte,MT,78515
37,001928b561575b2821c92254a2327d06,sao paulo,SP,04757
38,00196c4c9a3af7dd2ad10eade69c926f,vinhedo,SP,13287
39,00196fdb2bf9edfc35e88ebfbcf8d781,canoas,RS,92323
40,0019da6aa6bcb27cc32f1249bd12da05,limeira,SP,13484
41,0019e8c501c85848ac0966d45226fa1d,cuiaba,MT,78015
42,001a2bf0e46c684031af91fb2bce149d,sao paulo,SP,03071
43,001a34eb30ecb8e3aacb07c475ca4dd1,sao paulo,SP,04078
44,001a3a8e11d76c9a366c31a4aa2cc529,porto alegre,RS,90840
45,001ae44fa04911a9e9577356dce6c63c,sao caetano do sul,SP,09581
46,001ae5a1788703d64536c30362503e49,volta redonda,RJ,27276
47,001deb796b28a3a128d6113857569aa4,rio de janeiro,RJ,20541
48,001f3c4211216384d5fe59b041ce1461,sao paulo,SP,08240
49,002043098f10ba39a4600b6c52fbfe3c,aracaju,SE,49015
50,002311514717ca8b65b09a26cdf7b91a,guarulhos,SP,07114
51,0023557a94bef0038066b5d1b3dc763e,potirendaba,SP,15105
52,002471155ecd08d208d1376720e2a907,itajai,SC,88311
53,00256bf7b05c08f6a5849df3d0a64f1f,sao paulo,SP,04503
54,0025795df7a7d077c4c90162fa820085,sao paulo,SP,02323
55,0027324a96d26a2bc7d69262f83c8403,sao jose dos campos,SP,12220
56,0028a7d8db7b0247652509358ad8d755,valinhos,SP,13273
57,0028cfeb9dfcd3628a56d5b6400deef5,serrana,SP,14150
58,00293787e2aec37a9c253b63fdfe2049,rio de janeiro,RJ,21380
59,0029bd580d3012618731f5abb174a07f,sao paulo,SP,08225
60,002aba8c1af80acacef6e011f9f23262,mangaratiba,RJ,23860
61,002ae492472e45ad6ebeb7a625409392,brasilia,DF,72547
62,002b4cd83fabaffaa475f78ea5ef3e08,sao sebastiao do paraiso,MG,37950
63,002bdeb33da5b1b3ce8b9c822f749c82,palhoca,SC,88130
64,002cdf87d4c03f08f7eb4551a923affc,hortolandia,SP,13183
65,002d3bd901608f67c3fc11eaaa842b13,santo andre,SP,09133
66,002d71b244beb91ca7030b15ab526446,santa cruz do rio pardo,SP,18900
67,002da6dde369f6a8b4c999ed61eb5a87,sao paulo,SP,04711
