fact_key,order_id,order_item_id,customer_key,product_key,date_key,geo_key,order_status,price,freight_value,total_payment_value,avg_review_score,is_canceled
1,00010242fe8c5a6d1ba2dd792cb16214,1,50754,8629,622,7571,delivered,58.90,13.29,72.19,5.0000000000000000,f
2,00018f77f2f0320c557190d7a144bdd3,1,88369,29598,482,5642,delivered,239.90,19.93,259.83,4.0000000000000000,f
3,000229ec398224ef6ca0657da4fc703e,1,21147,25668,745,8799,delivered,199.00,17.87,216.87,5.0000000000000000,f
4,00024acbcdf0a6daa1e931b038114c75,1,66033,15323,951,4797,delivered,12.99,12.79,25.78,4.0000000000000000,f
5,00042b26cf59d7ce69dfabb4e55b4fd9,1,37906,22080,401,4934,delivered,199.90,18.14,218.04,5.0000000000000000,f
6,00048cc3ae777c65dbb7d2a0634bc1ea,1,50288,30848,501,9449,delivered,21.90,12.69,34.59,4.0000000000000000,f
7,00054e8431b9d7675808bcb819fb4a32,1,37423,18182,710,5780,delivered,19.90,11.85,31.75,4.0000000000000000,f
8,000576fe39319847cbb9d288c5617fa6,1,95198,11123,916,4505,delivered,810.00,70.75,880.75,5.0000000000000000,f
9,0005a1a1728c9d785b8e2b08b904576c,1,37518,6385,809,4370,delivered,145.95,11.65,157.60,1.00000000000000000000,f
10,0005f50442cb953dcd1d21e1fb923495,1,2842,9013,914,3303,delivered,53.99,11.40,65.39,4.0000000000000000,f
11,00061f2a7bc09da83e415a52dc8a4af1,1,6248,27628,814,5048,delivered,59.99,8.88,68.87,5.0000000000000000,f
12,00063b381e2406b52ad429470734ebd5,1,24023,31102,939,5681,delivered,45.00,12.98,57.98,5.0000000000000000,f
13,0006ec9db01a64e59a68b2c340bf65a7,1,47720,19743,936,6543,delivered,74.00,23.32,97.32,5.0000000000000000,f
14,0008288aa423d2a3f00fcb17cd7d8719,1,59463,7080,775,3285,delivered,49.90,13.37,126.54,5.0000000000000000,f
15,0008288aa423d2a3f00fcb17cd7d8719,2,59463,7080,775,3285,delivered,49.90,13.37,126.54,5.0000000000000000,f
16,0009792311464db532ff765bf7b182ae,1,27680,18083,957,9222,delivered,99.90,27.65,127.55,5.0000000000000000,f
17,0009c9a17f916a706d71784483a5d643,1,36331,8238,846,4826,delivered,639.00,11.34,650.34,4.0000000000000000,f
18,000aed2e25dbad2f9ddb70584c5a2ded,1,37770,10354,862,5069,delivered,144.00,8.77,152.77,1.00000000000000000000,f
19,000c3e6612759851cc3cbb4b83257986,1,92380,23217,590,4917,delivered,99.00,13.71,112.71,5.0000000000000000,f
20,000e562887b1f2006d75e0be9558292e,1,67232,12287,784,4443,delivered,25.00,16.11,41.11,3.0000000000000000,f
21,000e63d38ae8c00bbcb5a30573b99628,1,50374,11081,813,2202,delivered,47.90,8.88,56.78,3.0000000000000000,f
22,000e906b789b55f64edcb1f84030f90d,1,20177,11395,691,6205,delivered,21.99,11.85,33.84,3.0000000000000000,f
23,000f25f4d72195062c040b12dce9a18a,1,9995,3716,797,7429,delivered,119.99,44.40,164.39,4.0000000000000000,f
24,001021efaa8636c29475e7734483457d,1,12678,12118,789,17056,delivered,49.00,15.10,64.10,4.0000000000000000,f
25,0010b2e5201cc5f1ae7e9c6cc8f5bd00,1,87363,11708,620,6629,delivered,48.90,16.60,65.50,5.0000000000000000,f
26,00119ff934e539cf26f92b9ef0cdfed8,1,7526,4491,584,7295,delivered,219.90,16.98,236.88,5.0000000000000000,f
27,0011d82c4b53e22e84023405fb467e57,1,1071,25143,747,33,delivered,289.00,26.33,315.33,4.0000000000000000,f
28,00125cb692d04887809806618a2a145f,1,46160,3719,448,15116,delivered,109.90,25.51,135.41,5.0000000000000000,f
29,00130c0eee84a3d909e75bc08c5c3ca1,1,68257,17663,893,4286,delivered,27.90,7.94,35.84,5.0000000000000000,f
30,0013503b13da1eac686219390b7d641b,1,8097,7375,705,3109,delivered,119.90,17.32,137.22,5.0000000000000000,f
31,00137e170939bba5a3134e2386413108,1,21387,13335,694,6670,delivered,397.00,24.65,421.65,4.0000000000000000,f
32,001427c0ec99cf8af737bd88e92fd444,1,16117,5369,828,9524,delivered,59.90,23.35,83.25,2.0000000000000000,f
33,00143d0f86d6fbd9f9b38ab440ac16f5,1,70497,30035,655,14937,delivered,21.33,15.10,109.29,,f
34,00143d0f86d6fbd9f9b38ab440ac16f5,2,70497,30035,655,14937,delivered,21.33,15.10,109.29,,f
35,00143d0f86d6fbd9f9b38ab440ac16f5,3,70497,30035,655,14937,delivered,21.33,15.10,109.29,,f
36,0014ae671de39511f7575066200733b7,1,53373,4664,508,16442,delivered,16.50,14.10,30.60,5.0000000000000000,f
37,0015ebb40fb17286bea51d4607c4733c,1,17361,10514,745,16861,delivered,21.90,15.10,37.00,5.0000000000000000,f
38,00169e31ef4b29deaae414f9a5e95929,1,32953,22725,747,6664,delivered,39.00,16.11,55.11,1.00000000000000000000,f
39,0016dfedd97fc2950e388d2971d718c7,1,19589,8410,484,10613,delivered,49.75,20.80,70.55,5.0000000000000000,f
40,0017afd5076e074a48f1f1a4c7bac9c5,1,57258,32726,462,11711,delivered,809.10,44.29,853.39,1.00000000000000000000,f
41,001862358bf858722e1e2ae000cfed8b,1,88360,25577,768,4725,delivered,99.99,13.72,113.71,5.0000000000000000,f
42,0019c29108428acffd089c36103c9440,1,78210,5369,796,9358,delivered,59.90,19.95,79.85,5.0000000000000000,f
43,001ab0a7578dd66cd4b0a71f5b6e1e41,1,78929,1415,727,9931,delivered,24.89,17.63,127.56,4.0000000000000000,f
44,001ab0a7578dd66cd4b0a71f5b6e1e41,2,78929,1415,727,9931,delivered,24.89,17.63,127.56,4.0000000000000000,f
45,001ab0a7578dd66cd4b0a71f5b6e1e41,3,78929,1415,727,9931,delivered,24.89,17.63,127.56,4.0000000000000000,f
46,001ac194d4a326a6fa99b581e9a3d963,1,22978,28317,916,4434,delivered,54.00,8.54,62.54,5.0000000000000000,f
47,001b76dd48a5b1eee3e87778daa40df8,1,67382,28328,816,5639,delivered,81.99,13.01,95.00,5.0000000000000000,f
48,001c85b5f68d2be0cb0797afc9e8ce9a,1,32226,17176,694,3770,delivered,99.00,13.71,112.71,2.0000000000000000,f
49,001d8f0e34a38c37f7dba2a37d4eba8b,1,50736,29660,500,860,delivered,18.99,7.78,53.54,1.00000000000000000000,f
50,001d8f0e34a38c37f7dba2a37d4eba8b,2,50736,29660,500,860,delivered,18.99,7.78,53.54,1.00000000000000000000,f
