date_key,full_date,year,month,month_name,day,day_of_week_num,day_name,is_weekend,quarter
1,2016-01-01 00:00:00+05:30,2016,1,January  ,1,5,Friday   ,f,1
2,2016-01-02 00:00:00+05:30,2016,1,January  ,2,6,Saturday ,t,1
3,2016-01-03 00:00:00+05:30,2016,1,January  ,3,0,Sunday   ,t,1
4,2016-01-04 00:00:00+05:30,2016,1,January  ,4,1,Monday   ,f,1
5,2016-01-05 00:00:00+05:30,2016,1,January  ,5,2,Tuesday  ,f,1
6,2016-01-06 00:00:00+05:30,2016,1,January  ,6,3,Wednesday,f,1
7,2016-01-07 00:00:00+05:30,2016,1,January  ,7,4,Thursday ,f,1
8,2016-01-08 00:00:00+05:30,2016,1,January  ,8,5,Friday   ,f,1
9,2016-01-09 00:00:00+05:30,2016,1,January  ,9,6,Saturday ,t,1
10,2016-01-10 00:00:00+05:30,2016,1,January  ,10,0,Sunday   ,t,1
11,2016-01-11 00:00:00+05:30,2016,1,January  ,11,1,Monday   ,f,1
12,2016-01-12 00:00:00+05:30,2016,1,January  ,12,2,Tuesday  ,f,1
13,2016-01-13 00:00:00+05:30,2016,1,January  ,13,3,Wednesday,f,1
14,2016-01-14 00:00:00+05:30,2016,1,January  ,14,4,Thursday ,f,1
15,2016-01-15 00:00:00+05:30,2016,1,January  ,15,5,Friday   ,f,1
16,2016-01-16 00:00:00+05:30,2016,1,January  ,16,6,Saturday ,t,1
17,2016-01-17 00:00:00+05:30,2016,1,January  ,17,0,Sunday   ,t,1
18,2016-01-18 00:00:00+05:30,2016,1,January  ,18,1,Monday   ,f,1
19,2016-01-19 00:00:00+05:30,2016,1,January  ,19,2,Tuesday  ,f,1
20,2016-01-20 00:00:00+05:30,2016,1,January  ,20,3,Wednesday,f,1
21,2016-01-21 00:00:00+05:30,2016,1,January  ,21,4,Thursday ,f,1
22,2016-01-22 00:00:00+05:30,2016,1,January  ,22,5,Friday   ,f,1
23,2016-01-23 00:00:00+05:30,2016,1,January  ,23,6,Saturday ,t,1
24,2016-01-24 00:00:00+05:30,2016,1,January  ,24,0,Sunday   ,t,1
25,2016-01-25 00:00:00+05:30,2016,1,January  ,25,1,Monday   ,f,1
26,2016-01-26 00:00:00+05:30,2016,1,January  ,26,2,Tuesday  ,f,1
27,2016-01-27 00:00:00+05:30,2016,1,January  ,27,3,Wednesday,f,1
28,2016-01-28 00:00:00+05:30,2016,1,January  ,28,4,Thursday ,f,1
29,2016-01-29 00:00:00+05:30,2016,1,January  ,29,5,Friday   ,f,1
30,2016-01-30 00:00:00+05:30,2016,1,January  ,30,6,Saturday ,t,1
31,2016-01-31 00:00:00+05:30,2016,1,January  ,31,0,Sunday   ,t,1
32,2016-02-01 00:00:00+05:30,2016,2,February ,1,1,Monday   ,f,1
33,2016-02-02 00:00:00+05:30,2016,2,February ,2,2,Tuesday  ,f,1
34,2016-02-03 00:00:00+05:30,2016,2,February ,3,3,Wednesday,f,1
35,2016-02-04 00:00:00+05:30,2016,2,February ,4,4,Thursday ,f,1
36,2016-02-05 00:00:00+05:30,2016,2,February ,5,5,Friday   ,f,1
37,2016-02-06 00:00:00+05:30,2016,2,February ,6,6,Saturday ,t,1
38,2016-02-07 00:00:00+05:30,2016,2,February ,7,0,Sunday   ,t,1
39,2016-02-08 00:00:00+05:30,2016,2,February ,8,1,Monday   ,f,1
40,2016-02-09 00:00:00+05:30,2016,2,February ,9,2,Tuesday  ,f,1
41,2016-02-10 00:00:00+05:30,2016,2,February ,10,3,Wednesday,f,1
42,2016-02-11 00:00:00+05:30,2016,2,February ,11,4,Thursday ,f,1
43,2016-02-12 00:00:00+05:30,2016,2,February ,12,5,Friday   ,f,1
44,2016-02-13 00:00:00+05:30,2016,2,February ,13,6,Saturday ,t,1
45,2016-02-14 00:00:00+05:30,2016,2,February ,14,0,Sunday   ,t,1
46,2016-02-15 00:00:00+05:30,2016,2,February ,15,1,Monday   ,f,1
47,2016-02-16 00:00:00+05:30,2016,2,February ,16,2,Tuesday  ,f,1
48,2016-02-17 00:00:00+05:30,2016,2,February ,17,3,Wednesday,f,1
49,2016-02-18 00:00:00+05:30,2016,2,February ,18,4,Thursday ,f,1
50,2016-02-19 00:00:00+05:30,2016,2,February ,19,5,Friday   ,f,1
51,2016-02-20 00:00:00+05:30,2016,2,February ,20,6,Saturday ,t,1
52,2016-02-21 00:00:00+05:30,2016,2,February ,21,0,Sunday   ,t,1
53,2016-02-22 00:00:00+05:30,2016,2,February ,22,1,Monday   ,f,1
54,2016-02-23 00:00:00+05:30,2016,2,February ,23,2,Tuesday  ,f,1
55,2016-02-24 00:00:00+05:30,2016,2,February ,24,3,Wednesday,f,1
56,2016-02-25 00:00:00+05:30,2016,2,February ,25,4,Thursday ,f,1
57,2016-02-26 00:00:00+05:30,2016,2,February ,26,5,Friday   ,f,1
58,2016-02-27 00:00:00+05:30,2016,2,February ,27,6,Saturday ,t,1
59,2016-02-28 00:00:00+05:30,2016,2,February ,28,0,Sunday   ,t,1
60,2016-02-29 00:00:00+05:30,2016,2,February ,29,1,Monday   ,f,1
61,2016-03-01 00:00:00+05:30,2016,3,March    ,1,2,Tuesday  ,f,1
62,2016-03-02 00:00:00+05:30,2016,3,March    ,2,3,Wednesday,f,1
63,2016-03-03 00:00:00+05:30,2016,3,March    ,3,4,Thursday ,f,1
64,2016-03-04 00:00:00+05:30,2016,3,March    ,4,5,Friday   ,f,1
65,2016-03-05 00:00:00+05:30,2016,3,March    ,5,6,Saturday ,t,1
66,2016-03-06 00:00:00+05:30,2016,3,March    ,6,0,Sunday   ,t,1
67,2016-03-07 00:00:00+05:30,2016,3,March    ,7,1,Monday   ,f,1
68,2016-03-08 00:00:00+05:30,2016,3,March    ,8,2,Tuesday  ,f,1
69,2016-03-09 00:00:00+05:30,2016,3,March    ,9,3,Wednesday,f,1
